,Unnamed: 0,id,teacher_id,teacher_prefix,school_state,project_submitted_datetime,project_grade_category,project_subject_categories,project_subject_subcategories,project_title,project_essay_1,project_essay_2,project_essay_3,project_essay_4,project_resource_summary,teacher_number_of_previously_posted_projects,project_is_approved
11,127083,p251806,4ba7c721133ef651ca54a03551746708,Ms.,CA,2016-11-14 22:57:28,Grades PreK-2,"Literacy & Language, Applied Learning","Literacy, Parent Involvement",Elevating Academics and Parent Rapports Through Technology,"All of our students receive free breakfast, lunch, before/after school care, and most of them struggle through life, but they are great kids! These young minds are eager to learn and just waiting for opportunities to succeed. They are wonderful to be around and really enjoy spending time with their friends, teachers, community members, and coaches whenever they have the opportunity. They have already experienced more obstacles than most adults will ever encounter.\r\nFewer than 25% of my students are meeting grade-level standards, but they absolutely love forming rapports, learning with high-interest resources they can manipulate, sharing their special talents (singing, dancing, cooking, etc.), and just being a normal kid. \r\nWhen we get to see them \""come to life\"" while sharing their special talents during non-instructional time, it reinforces that those flashes of success and confidence will eventually transfer into in the classroom academically. Please give my students that chance to have a basic school need (backpacks) and develop a holistic enjoyment of school by supporting our project. You can create lifetime learners and unlock opportunities that may otherwise be nonexistent.","With three chromebooks, I can teach the Common Core Standards more efficiently by enhancing our small group learning center in our classroom.  Our new technology will offer more opportunities for in class intervention without depleting our budget by hiring more personnel to run an intervention group. Rather than using uninteresting textbooks, we will be able to access various online tools/resources, listen and watch stories, utilize interactive math manipulatives, video clips, and modeled lessons to help teach or reteach skills from our district approved curriculums. Our English Language Learners, struggling and even our higher performing students will now receive differentiated instruction to meet their learning goals more frequently. In many cases, technology is the only to paint that picture.\r\nEven as adults, we are always searching for our place and identity in the world.  Parents will also learn to use the chromebooks when they drop off and pick up their children to interact with the current software/programs being used in class, check their child's diagnostic assessments, identify areas that need improvement, and see exactly where their child is in relation to the current school year calendar.  With extra copy paper to print out the parent diagnostic reports and additional at home lessons, parents can consistently attend to and encourage their child to address their areas of needed improvement. \r\nFor children and parents in my school community, insufficient and inaccurate communication has presented insurmountable challenges.  As a first grade teacher, it's my responsibility to show my parents and students that they belong in school, have the tools and ability to succeed, and hopefully create a solid foundation for them build upon as they navigate the elementary school grade levels.  Eventually, it's my dream that my students obtain a college degree someday, but that journey must begin today.",,,"My students need paper, three chromebooks, and a keyboard cover to enhance our learning center and introduce parents to the technology and programs being used at our site.",32,1
12,19090,p051126,5e52c92b7e3c472aad247a239d345543,Mrs.,NY,2016-05-23 15:46:02,Grades 6-8,Math & Science,"Environmental Science, Health & Life Science",Building Life Science Experiences,"My students are always working on new projects and this time we want to work on the enviornment and our connection to the ecosystem.  All of this takes time and hard work.  After a great year learning about cells and how our bodies have so many organ systems, my class is ready for a hands on experience. \r\nThey want to connect their lives to our habitat, our ecosystem and they need real life authentic experiences.  I want my students to internalize the importance of protecting our earth but more importantly our immediate community. \r\n",My Spanish Dual Language students are always ready for hands on experiences in our science classroom.  I was at a crossroads for life science and decided to search for great hands on kits that will let them explore what our organ systems are really like and how they differ from those in other habitats.  I want them to figure out the similarities as well through active exploration.  Discovery is always the key to my lessons and seeing that lightbulb go off is a gift every teacher loves to receive.\r\nThey work in collaborative groups and always seem to come up with great answers together and build their science perspectives. Science is fun and I always need to give my students that chance to explore in different ways.,,,My students need 3D and 4D life science activity kits so they can get the full effect of the lessons and work in their groups and store their models in sturdy bins.,5,0
13,15126,p003874,178f6ae765cd4e0fb143a77c47fd65e2,Mrs.,OK,2016-10-17 09:49:27,Grades PreK-2,Special Needs,Special Needs,Everyone deserves to be heard!,"I teach in a small school district in central Oklahoma. As most other schools in our nation, funding is tight or at times nonexistent. My students have severe or multiple disabilities, as well as great dreams for a bright future.  Most of the students who attend my class come from low income families and often have little or no access to computer technology at home. \r\nMy goal is to provide my students with technology so that they can  learn to communicate with others.  Having access to an IPad will give each student something that we all take for granted, the ability to talk to others.  Imagine not having a voice, many of my students don't, what a wonderful gift to give a child.","My students are smart, creative, and also have severe or multiple disabilities.  Many of my students have lots to say, but they are non-verbal.  Having access to an IPad, loaded with communication boards, will allow them to talk with others throughout their day.  \r\nA voice is something that many of us take for granted, but these wonderful children don't have the ability to communicate in the tradition way.  Not having a voice doesn't mean that they don't want to communicate with the world.  This gift would give them the power of communication, not only for the school year, but for the rest of their lives.",,,My students need access to technology that will allow them to communicate with others.,30,1
14,62232,p233127,424819801de22a60bba7d0f4354d0258,Ms.,MA,2017-02-14 16:29:10,Grades PreK-2,Literacy & Language,Literacy,TABLETS CAN SHOW US THE WORLD,"My students are my babies...I want the world for them!\r\nI teach three and four-year-old students with disabilities in the inner city. My students have a range of disabilities including autism, physical handicaps, and developmental delays. 99% of the student population receive free or reduced-price breakfast and lunch. My students are inquisitive, energetic, and most importantly full of questions. They are future nurses, doctors, scientists, police, and leaders. I believe in every one of my students' future and want to provide a solid and supportive start to their education.","Having this computer in the classroom would provide endless opportunities for learning, exposure, and fun. Many of my students have language impairments due to lack of exposures/ life experiences. I would use this computer daily to provide visual support when teaching language and academic concepts. This computer would be able to be used in the whole group instruction to support my teaching. I could show students examples, pictures and videos.\r\n\r\nThere are NO WORDS to describe the impact this computer would have on my students' learning.\r\nSeveral times throughout a school day my students will ask, \""Who, what, why, how, and when?\"" Being able to show them, using this computer or even better teach them how to answer their questions themselves, would be incredible!!!",,,My students need 5 tablets for our classroom technology center PLEASE!!!,15,0
15,67303,p132832,bb6d6d054824fa01576ab38dfa2be160,Ms.,TX,2016-10-05 21:05:38,Grades 3-5,Health & Sports,Health & Wellness,Making Recess Active,"Located in West Dallas, my students face several challenges both in and out of the classroom. However, this notion does not stop my students from showing enthusiasm from day one.  In fact, during Meet the Teacher, I had one student come up and ask me what work he could do.  I was completely floored! Knowing that you only have a few days left of break, yet you come in with a smile on your face asking what you can do to help is mind boggling in the best manner. With this passion coming through the door, I want to do everything I can to make sure that I am providing my students with authentic and meaningful experiences.","Due to the size of our school, and the tiny nature of our recess area, 3rd grade recess tends to be indoor. This is no fun for anyone! Scholars are aching to be in a large space, run around, and be kids. Therefore, as an alternative to indoor recess, the school has found an open area of green space for kids to use to get some of the pent-up energy. Sadly, all it is, is green space. Scholars have to be creative in how to move around, which is not always the easiest thing in the world.\r\n\r\nAs a result, scholars had a conversation during morning meeting about what would make recess fun again. What they came up with is simple in nature, yet difficult due to funds. Toys! They discussed about playing flag football, soccer, ultimate frisbee, running drills to practice for their sport teams, ball tosses, and more. The more time scholars chatted away, more items were added to the list in order to meet the needs of all scholars.  Some scholars suggested chalk to color, and hula hoops for those who want to be activity but not compete against teams.  It was a very proud moment to see how the scholars kept dreaming about how to make their every day even better. \r\n\r\nI thank you ahead of time for making the decision to help out these well-deserving scholars!",,,"My students need activities to play during recess, which takes place on a large green open space. There is no equipment, so there is strong need for kick balls, soccer balls, hula hoops, parachute, and frisbees.",3,1
16,127215,p174627,4ad7e280fddff889e1355cc9f29c3b89,Mrs.,FL,2017-01-18 10:59:05,Grades PreK-2,"Literacy & Language, Special Needs","Literacy, Special Needs",Making Great LEAP's With Leapfrog!,"My Preschool children, ages 3-5 years old with autism, developmentally delayed, language impaired, and  social/emotional behaviors.  They are full of life but need to be exposed to vocabulary and language development. We are a Tittle 1 school with high poverty. \r\n\r\n\r\nResearch shows that early intervention dramatically impacts their future success.  \r\nBy providing my students' with engaging, hands-on, direct instruction they will receive the early interventions needed to make the LEAP's .  \r\nThrough LeapFrogs educational videos, my students will learn the basic letters, sounds and reconize numbers. These items in help preparation for kindergarten. I want my students to achieve and be successful and with LeapFrog learning help this goal can be possible!\r\n\r\n\r\n\r\n","Having a set of Leapfrog iPads and educational learning videos will help build Vocabulary & Oral Language skills in preparation for kindergarten.\r\n\r\nThe Leapfrog iPads and videos will help my students become ready for reading in time for kindergarten.\r\n\r\nLeap Frog introduces preschoolers to important preschool and kindergarten skills like counting, recognizing letters and the sounds they make, combining letter sounds to make words, and using words to build sentences. \r\n\r\nThe materials are engaging, with developmentally age appropriate educational materials that includes read along books, sight words, matching, sing a-longs.  Having a set of Leapfrog IPads I will be able to create centers an environment provide direct instruction with interactive centers. \r\n\r\n",,,"My students need 2 LeapPad that will engage them in critical thinking skills, vocabulary and communication skills that they need to be successful.",1,1
17,157771,p152491,e39abda057354c979c5b075cffbe5f88,Ms.,NV,2016-11-23 17:14:17,Grades 3-5,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",Technology Teaches Tomorrow's Talents Today,"My students are special because they come from a variety of backgrounds. I have several English Language Learners in my classroom, as well  as four students receiving special education services. I have 7 students with ADHD, who really benefit from technological learning. WE live in a rural community where several families do not own a computer or have access to technology.They all yearn to learn in the classroom and it is extremely difficult to get books out of their hands :) My students enjoy learning on the computer through student created blogs, adpative learning experiences, performance tasks and differentiated grade level articles that can be manipulated through highlighting and annotating the text.","Classroom ChromebookCar\r\n\r\nMy name is Shanlee Meyers and I am a 3rd grade teacher in rural Nevada. I am attempting to raise money to purchase 30 Chromebooks and a laptop charging cart for my classroom. Our school encourages the use of technology in the classroom, yet does not have adequate funding to provide the appropriate  21st century resources for all classrooms. Instead of waiting several years for this to happen, I am taking the initiative to MAKE IT HAPPEN with your assistance. \r\n\r\nAt a school with over 500 students, it makes it difficult to teach with technology when one Chromebook cart is being shared by all students. Chromebooks are the most cost effective and most efficient resource to use in the classroom. They give instant access to the internet and online apps such as Google (Google Docs, Google Slides etc). Many of my lessons and assessments could be enriched with the use of this tool in the classroom. Students would be learning valuable skills, such as navigating the internet for research-based activities, publishing pieces of writing, practicing typing skills, and completing differentiated lessons. Additional information on how Chomebooks enhance student learning are provided in this article from Scholastic.\r\nhttp://www.scholastic.com/teachers/article/chromebooks-classroom \r\n\r\nYour support will fund Chromebooks. My goal is to raise this money by the beginning of the 2017-18 school year, if not earlier for use this school year. In a society centered around the use of technology, access to this technology on a daily basis will enable my students to learn in a way that a textbook just can't deliver. Just consider doing YOUR job without access to a computer and the internet. Today, a student's job is to learn, and in order to do their job effectively, they must have the appropriate tools.",,,"My students need Chromebooks to publish written work, continue working n their typing skills, manipulate reading passages by highlighting and analyzing a text, and so much more!",0,1
18,122186,p196421,fcd9b003fc1891383f340a89da02a1a6,Mrs.,GA,2016-08-28 15:04:42,Grades PreK-2,Applied Learning,Early Development,Test Time,"I teach at a Title I school in a low-income area. Many of my students receive free or reduced lunch and face many struggles outside our school walls. School is safe place where they are free to grow and learn.\r\n\r\nMy students are kind, caring, creative, and hardworking! In my classroom they learn to always try their best. I work hard to teach my students that perfection is not a requirement , but they are expected to do their personal best each and every day. \r\n\r\nI love watching my students grow throughout the school year. Together we overcome challenges and rejoice in successes. I love my job and my students are the best!","My 2nd grade students will benefit from having privacy shields to use while testing or while completing independent work and projects. In a large group, it is easy for students to become distracted by the noises and things going on around them. These privacy shields allow students to have their own private space that is quiet,  free from distractions,  and helps support critical thinking.\r\n\r\nPlease help my students gain a quiet space of their own where they can show off their awesome abilities! Every student capable of producing great work. These privacy shields will help me provide an environment that allows students the perfect environment to show what they know and to be successful. \r\n\r\n",,,My students need privacy partitions to use while testing or while working on independent work.,0,1
19,146331,p058343,8e07a98deb1bc74c75b97521e05b1691,Ms.,OH,2016-08-06 13:05:20,Grades 3-5,Health & Sports,Health & Wellness,Wiggling Our Way to Success,We are apart of an urban district and many of my students come from financially disadvantaged homes. My 4th and 5th grade students face many challenges both in and out of the classroom. As a class we work to build a community of learners which encourages hard work and perseverance. With the many challenges my students face it is also important for each child to feel they are in a safe and positive learning environment. I strive to find creative ways to create this atmosphere for all the children I teach.,"Many of my students struggle to sit still for extended periods of time. Students are asked to read and work in independent activties several time through out each day. Students need and have requested the opportunity to move while completing these activities. The Hokki stools provide students with the quiet option to continue to move while competing their necessary school work. In our classroom we will use these stools as a seating option during read aloud and mini lesson time as well. Having 7 stools in the classroom will allow for each of my 30 students to have an opportunity to use these stools throughout the day. They will keep active, build their core muscles and continue the great learning we engage in every day!",,,My students need 7 Hokki stools to encourage and allow for movement during times of stationary work in the classroom.,9,1
20,75560,p052326,e0c1aad1f71badeff703fadc15f57680,Mrs.,PA,2016-10-07 18:27:02,Grades PreK-2,Literacy & Language,Literacy,Magic Carpet Ride in Our Library,"The students in our school come from diverse backgrounds with varied experiences. Over 90% of the students come from considerable poverty. This year 100% of the students in our district receive free lunches, due to the poverty rate in our community.  Some of our students are well above grade level and are in need of enrichment while other students have had limited experiences with literacy, writing, or vocabulary and need to work on their very basic skills. These differences within a class make it difficult to ensure that all students are getting what they specifically need on a daily basis.\r\n\r\n","Each week our students love visiting the school library and borrowing a book for the week.  A new carpet in our library would create a cozy place where students can sit while the librarian is reading a book each week.  This would also help to brighten our library and make it an exciting place for our students.  While our librarian   The carpet I've requested has designated spaces for students to sit, helping to manage behavior also.  \r\n\r\nYour donation would provide a bright colorful carpet for our library story area where librarians, teachers, and volunteers come to share stories with students in our first and second grade students.\r\n\r\nSharing books and listening to stories is very important to child development. Children need to know that reading is important, and there is no better way to teach that than by sharing books together.  This carpet would help to make that reading time even more special.",,,My students need carpet in our library to brighten up our reading space.,23,1
21,132078,p187097,2d4a4d2d774e5c2fdd25b2ba0e7341f8,Mrs.,NC,2016-05-17 19:45:13,Grades 6-8,"Math & Science, Special Needs","Health & Life Science, Special Needs",From Sitting to Standing in the Classroom,"My students walk into school every day full of energy, eager to learn, and prepared for a challenge. They are always at my door asking me questions and excited about what is to come in science class that day.\r\n\r\nI work at a Title 1 middle school in North Carolina that has students from all walks of life.\r\n\r\nEvery student at our school receives free breakfast and lunch. Many students also take home backpacks full of food for the weekend. Even with the hardships these students face each day, they come to school smiling and ready to learn.",I want to purchase desks in my classroom that are not traditional desks that students just sit at. These desks will allow students to stand during class because they are sitting all day long at school. They also have a fidget bar below that sways for students to get out that energy.\r\n\r\nScience has proven that standing and fidgeting allow more oxygen to reach the brain so that students can learn and retain more information. I want to buy four of these standing desks so that students can choose to stand during the class period if they need to stretch their legs or even fidget. They are going to be placed in the back of the classroom and it will be a great option for students if they wish. There are many students that I teach that need to stand or pace while they are working and thinking. These desks allow this as a better option in the classroom.,,,My students need desks to stand at and be able to fidget without becoming a distraction to others in the classroom.,0,1
